low_var,True,True,False,False
large_n,True,False,True,False
25,"(0.03, 1.0, 0.035507855827026966)","(0.06, 1.0, 0.056018861337624334)","(0.02, 1.0, 0.05482191030457373)","(0.015, 0.4, 0.0653159538453254)"
50,"(0.01, 1.6, 0.029549304705560452)","(0.01, 1.0, 0.037908155125963704)","(0.005, 1.6, 0.05432820833476678)","(0.01, 1.6, 0.06311474995230425)"
75,"(0.005, 1.4, 0.027374648170446724)","(0.01, 1.0, 0.03830877707760512)","(0.005, 1.4, 0.05470152591462368)","(0.005, 0.9, 0.06735170747024857)"
100,"(0.005, 1.4, 0.028827072547616444)","(0.005, 1.0, 0.037391230819626274)","(0.005, 1.4, 0.05439182061759562)","(0.005, 0.9, 0.08690549903054942)"
125,"(0.005, 1.4, 0.028827072547616444)","(0.005, 1.0, 0.037391230819626274)","(0.005, 1.4, 0.05439182061759562)","(0.005, 0.9, 0.08690549903054942)"
150,"(0.005, 1.4, 0.028827072547616444)","(0.005, 1.0, 0.037391230819626274)","(0.005, 1.4, 0.05439182061759562)","(0.005, 0.9, 0.08690549903054942)"
