State,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
MA,0.6368393608952824,0.43389787483870446,0.5703915698893579,0.6910492905853005,0.8222025540668536,0.5829742425617147,0.9294754831466712,0.792834960858782,0.5618028586867623,0.549863529554089,0.8435917227444815,0.564439955363604,0.6421879064027164,0.7393106333869287,0.5236551349054203,0.571678063822985,0.7113268538648683,0.4371264053202306,0.0,0.8895647275119882,0.7838529513201342,0.5510746165609233,0.8007596538797177,0.5448952690586365,0.439429317680221,0.685873127651292,0.6553140133075859,0.5792559243367138,0.687824581741471,0.8067132998106056,0.909024178393975,0.8399691140750155,0.6784897366013904,0.8247639058118565,0.6155848408890571,0.5637139303899117,0.8585664423294467,0.6260879590634872,0.8026317851689772,0.5021130219299594,0.6583707936122238,0.545169311841716,0.5331420191024773,0.5414914196172989,0.7765338500241498,0.8920008971931171,0.9286132836761863,0.7426895928583843,0.49318910421783313,0.5277963909004992
MD,0.7337819703902907,0.5443331473267163,0.6808268423773697,0.7990772817904196,0.9326378265548653,0.5159393893609147,0.9116364141766378,0.9032702333467938,0.6722381311747738,0.6602988020421008,0.9459730047675066,0.6748752278516159,0.6628107833734228,0.8497459058749404,0.634090407393432,0.6821133363109968,0.6442920006640681,0.5475616778082423,0.8895647275119882,0.0,0.7109193233616653,0.48403976336012317,0.7337248006789177,0.6553305415466482,0.5498645901682327,0.6721402371772581,0.7657492857955976,0.6896911968247256,0.7953250514308944,0.7396784466098055,0.9394084736463151,0.9099729719275387,0.7889250090894021,0.9240880671887571,0.7260201133770688,0.6741492028779236,0.8832163145326463,0.7365232315514989,0.795989546116596,0.6125482944179713,0.7537977074846701,0.6556045843297279,0.643577291590489,0.6519266921053106,0.8869691225121614,0.7971882662145395,0.8648550077771014,0.8316005015299143,0.6036243767058449,0.638231663388511
ME,0.7529864095751482,0.5500449235185703,0.6865386185692237,0.8071963392651661,0.7368401687844552,0.4191752022675933,0.793727353629472,0.7089820095386479,0.677949907366628,0.6660105782339548,0.7597387714243473,0.6805870040434698,0.7583349550825822,0.6467784367837757,0.6398021835852861,0.6878251125028508,0.7111504550801807,0.5532734540000964,0.7838529513201342,0.7109193233616653,0.0,0.6508982177762358,0.6786209909440868,0.6610423177385023,0.5555763663600868,0.8020201763311579,0.7714610619874515,0.6954029730165796,0.7039716304213368,0.8688765236674274,0.7715108497153501,0.7561161627548814,0.694636785281256,0.7038543507181374,0.6317318895689229,0.6798609790697775,0.7721474532734633,0.8380840643471265,0.9093742216895139,0.6182600706098254,0.7745178422920896,0.6613163605215818,0.649289067782343,0.6514497890518817,0.7487563704021287,0.7224953579472139,0.7941285565328366,0.75883664153825,0.6093361528976989,0.6439434395803649
MI,0.6502577929698325,0.477991359324156,0.6144850543748095,0.6849624815697036,0.537738386560691,0.6578954331286744,0.5446255714057077,0.5071171245895166,0.5224288379311235,0.5716173913980311,0.5380667585926165,0.6029778842935001,0.6862813908881679,0.48656554344890013,0.5677486193908718,0.5542872715788769,0.6987959807254052,0.48121988980568214,0.5510746165609233,0.48403976336012317,0.6508982177762358,0.0,0.7503149626812057,0.588611395053522,0.4835228021656725,0.7063439706273096,0.5582880009376913,0.622821106935373,0.5887147119292288,0.7443613167503177,0.5279646230471413,0.5562848207826894,0.5725832210868419,0.4658636796054842,0.5596783253745087,0.5800296370975855,0.6008234488274768,0.5223156154566956,0.5602724394657496,0.5406509508598556,0.6302420558754531,0.5892627963271676,0.5274032184726248,0.5134591179392284,0.5329879215116977,0.6590737193678059,0.6191847555830218,0.6524392618302091,0.5372825887032846,0.5718898753859507
MN,0.6260518449636794,0.42311035890710136,0.5596040539577548,0.6802617746536974,0.766970593690806,0.7127764335457287,0.7943106087245021,0.7320474449271789,0.5287931205329368,0.539076013622486,0.7605819845906562,0.5536524394320009,0.6314003904711133,0.72296756189977,0.5128676189738172,0.560890547891382,0.7439149803083503,0.4263388893886275,0.8007596538797177,0.7337248006789177,0.6786209909440868,0.7503149626812057,0.0,0.5341077531270334,0.4286418017486178,0.6750856117196888,0.5778598307093161,0.5684684084051107,0.677037065809868,0.7940463540691123,0.7776496603659357,0.7514038203656346,0.6677022206697873,0.7155487169242787,0.604797324957454,0.5529264144583086,0.8311122597311769,0.5541893320207729,0.6918442692373741,0.4913255059983564,0.6253610554583986,0.5343817959101129,0.5223545031708741,0.5307039036856958,0.6826729588304922,0.9087587566866002,0.8688697929018161,0.7319020769267811,0.48240158828623,0.5170088749688961
MO,0.9080559081633541,0.889002605780068,0.9258244538862597,0.8538459784733362,0.7226927149917829,0.24688418667276224,0.6154197859119652,0.7520603081998546,0.9338174428776015,0.8830059963445092,0.7013035463141549,0.971549653317674,0.8673824150668215,0.7979541483953783,0.9720283941112875,0.9656758765253548,0.748863632357467,0.892231136261594,0.5448952690586365,0.6553305415466482,0.6610423177385023,0.588611395053522,0.5341077531270334,0.0,0.8945340486215844,0.8534665858517888,0.8696766058841695,0.9656393447219226,0.8570706873171655,0.6854743969614852,0.6358710906646614,0.6923223813987153,0.835084777740265,0.7201313632467798,0.8995410361360364,0.952502093385706,0.6863288267291898,0.8188073099951493,0.6422634838896594,0.9516621973157675,0.8861471169558466,0.9625896888731049,0.9387918234191027,0.9248477228857063,0.7683614190344866,0.48353767568571604,0.6162819853824502,0.8022056762002523,0.9482938351591966,0.9483818970260616
MS,0.8025899567849385,0.9578018904918167,0.8690377477908631,0.7483800270949206,0.6172267636133675,0.14141823529434672,0.5099538345335497,0.6465943568214391,0.8776264589934588,0.889565788126132,0.5958375949357395,0.874989362316617,0.7972414112775045,0.7001186842932922,0.9157741827748007,0.8677512538572358,0.6847268214402674,0.9795377584995483,0.439429317680221,0.5498645901682327,0.5555763663600868,0.4835228021656725,0.4286418017486178,0.8945340486215844,0.0,0.7535561900289289,0.7841153043726352,0.8601733933435072,0.75160473593875,0.5800084455830697,0.5304051392862459,0.5994602036052055,0.7609395810788306,0.6146654118683643,0.8238444767911639,0.8757153872903093,0.5808628753507744,0.713341358616734,0.5367975325112437,0.9373162957502615,0.781058524067997,0.894260005838505,0.9062872985777438,0.8979378980629221,0.6628954676560712,0.37807172430730057,0.5108160340040345,0.6967397248218368,0.9412590813869163,0.9005218156686107
MT,0.9231884554662126,0.7480247471874125,0.8789628866825102,0.8551761629340083,0.7258388603778259,0.38786204526541773,0.7327260452228426,0.6952175984066515,0.7981519532576923,0.7639904019027971,0.7261672324097515,0.8674557166012009,0.9563147787514243,0.674666017266035,0.8377820072541282,0.8423877453960117,0.8721517634868101,0.7512532776689385,0.685873127651292,0.6721402371772581,0.8020201763311579,0.7063439706273096,0.6750856117196888,0.8534665858517888,0.7535561900289289,0.0,0.7463884747548263,0.8878272411298662,0.8741736763124013,0.8264522555541406,0.7160650968642763,0.7207626530903902,0.7370610533945429,0.6539641534226192,0.8297117132377652,0.8445074694052863,0.7889239226446118,0.7104160892738305,0.7483729132828844,0.8051287831675564,0.8947198881831541,0.859296184190424,0.8028244470067407,0.8015595917563632,0.7210883953288324,0.6245155342783717,0.7572598439751056,0.8234831318737591,0.8073159765665411,0.8419232632492071
NC,0.808030207967859,0.7785838615311187,0.7955010597704291,0.8733255193679876,0.8108892370185101,0.31841404203282253,0.7258385301609147,0.8458123857821371,0.9064888453791765,0.8945495162465031,0.8117222905631043,0.8467818147573989,0.737059020950991,0.854892268809546,0.841704999995457,0.9003026161512675,0.6185402382416365,0.7818123920126449,0.6553140133075859,0.7657492857955976,0.7714610619874515,0.5582880009376913,0.5778598307093161,0.8696766058841695,0.7841153043726352,0.7463884747548263,0.0,0.8354668940023184,0.7695732890084629,0.7681153634326566,0.7462898349136109,0.7786656539495513,0.8547613836244344,0.8305501074957293,0.7692176420202059,0.8499564770476532,0.7467475709781393,0.923670498688543,0.7526822281386087,0.8467990086223737,0.8280459450622383,0.8322662947572744,0.8778280057948914,0.8718377836682036,0.8732246077278806,0.5939564199346655,0.693367396298066,0.8058487391074824,0.8378750909102474,0.8180585029102312
ND,0.9424165634414313,0.8546419505019907,0.9600341657681105,0.8882066337514135,0.7570533702698603,0.2812448419508395,0.6497804411900425,0.7842960176541438,0.8996077309957506,0.8487962844626583,0.7356642015922322,0.9796284754713347,0.9015921269486724,0.7637444365135273,0.9443992105687065,0.931466164643504,0.783073344239318,0.8578704809835168,0.5792559243367138,0.6896911968247256,0.6954029730165796,0.622821106935373,0.5684684084051107,0.9656393447219226,0.8601733933435072,0.8878272411298662,0.8354668940023184,0.0,0.8914313425952428,0.7198350522395625,0.6702317459427388,0.7265320932805661,0.8492338122646766,0.7430425726701114,0.9337507480178873,0.9566802282754201,0.7206894820072671,0.7994945085213228,0.6766241391677366,0.9173015420376902,0.9203568288376973,0.9659133875050022,0.9045821115372519,0.8906380110038555,0.8027220743125641,0.5178983309637933,0.6506426406605273,0.8365663314783296,0.9139331798811192,0.9485404665637852
