,Const,Age_0_24,Age_25_44,Age_45_64,L_Threaten,Hospitalized,X_Stay,Recovered,Num_Days,CUR_ILL,Population
AK,1,0.2424812030075188,0.287593984962406,0.4116541353383459,0.02443609022556391,0.04887218045112782,0.0018796992481203006,0.3684210526315789,31.963488843813387,0.12781954887218044,733391
AL,1,0.1322930800542741,0.23473541383989144,0.4843962008141113,0.029850746268656716,0.07055630936227951,0.0013568521031207597,0.26865671641791045,39.74110522331567,0.1383989145183175,5024279
AR,1,0.08850457782299084,0.14954221770091555,0.4715157680569685,0.014750762970498474,0.3728382502543235,0.0,0.3240081383519837,109.31776704240472,0.16225839267548323,3011524
AZ,1,0.13422554615233223,0.24955717378468806,0.4760873843731549,0.022042904939972446,0.07045857114741193,0.0,0.2493603621334383,33.59770359345099,0.12674670340484157,7151502
CA,1,0.15806285798208253,0.26545748274342784,0.4551329123219269,0.014576296078719343,0.03748714936113967,0.0005140255544132766,0.40545601409898663,27.147794324248384,0.10155676310765163,39538223
CO,1,0.19321172520192395,0.2775206461566385,0.39050730556311825,0.01016426172973954,0.029131500136128505,9.075233687267448e-05,0.13476722025592158,19.73374677002584,0.06407114983210818,5773714
CT,1,0.18466096115865702,0.2755102040816326,0.43844634628044765,0.014154048716260697,0.041474654377880185,0.0006583278472679394,0.28011849901250824,36.165739710789765,0.0944700460829493,3605944
DE,1,0.1362126245847176,0.18604651162790697,0.5282392026578073,0.02823920265780731,0.06976744186046512,0.0016611295681063123,0.3438538205980066,38.99810964083176,0.12624584717607973,989948
FL,1,0.07605460330493688,0.19552499230216566,0.5015908857641384,0.026275274556091553,0.231858770399261,0.0007184645386431284,0.26962947757364264,83.45266682059571,0.1296315303294673,21538187
GA,1,0.14672966923650832,0.25640387963193234,0.48744093509077346,0.024123352399900523,0.057448395921412584,0.0014921661278288984,0.322307883611042,40.93088975937325,0.12633673215618005,10711908
HI,1,0.11387559808612441,0.21244019138755982,0.5100478468899522,0.009569377990430622,0.03253588516746411,0.0,0.3569377990430622,23.060790273556233,0.08995215311004785,1455271
IA,1,0.1692977681001633,0.17746325530756668,0.4436581382689167,0.015786608600979857,0.1899836690255852,0.0,0.4550898203592814,54.278113663845225,0.18780620577027762,3190369
ID,1,0.22455679579776758,0.25147734734077476,0.4103742613263296,0.020354563361785948,0.04005252790544977,0.0006565988181221273,0.29875246224556795,24.00147492625369,0.10965200262639527,1839106
IL,1,0.2120049124961621,0.23656739330672397,0.4280012281240405,0.018575376112987412,0.10976358612219834,0.0006140620202640467,0.3277556033159349,45.705313189611275,0.12741786920478967,12812508
IN,1,0.14716559620217817,0.26110025132644515,0.47109745881038817,0.0161965931304105,0.07400167550963418,0.00027925160569673273,0.3163920692543982,33.37645259938838,0.11924043563250489,6785528
KS,1,0.1994645247657296,0.2429718875502008,0.4344042838018742,0.0214190093708166,0.06492637215528782,0.0013386880856760374,0.3493975903614458,35.303899926416484,0.142570281124498,2937880
