,Const,Age_0_24,Age_25_44,Age_45_64,L_Threaten,Hospitalized,X_Stay,Recovered,Num_Days,CUR_ILL,Population
OK,1,0.13058875608676407,0.23328906595838866,0.4342629482071713,0.021248339973439574,0.2886232846392209,0.0004426737494466578,0.23284639220894202,108.3242727706247,0.09871624612660469,3959353
OR,1,0.23666092943201378,0.23694779116465864,0.43287435456110157,0.022375215146299483,0.03442340791738382,0.0005737234652897303,0.295754446356856,30.594830371567042,0.1153184165232358,4237256
PA,1,0.14746609564596716,0.2552462526766595,0.46438258386866527,0.026980728051391862,0.06652391149179157,0.00042826552462526765,0.3059243397573162,33.13224061107575,0.1326195574589579,13002700
RI,1,0.15748898678414097,0.34030837004405284,0.41409691629955947,0.024229074889867842,0.046255506607929514,0.0022026431718061676,0.2654185022026432,27.356200527704484,0.10792951541850221,1097379
SC,1,0.11045655375552282,0.2346588119783996,0.5090819833087874,0.027000490918016692,0.0662739322533137,0.0,0.29896907216494845,40.672876712328765,0.12714776632302405,5118425
SD,1,0.17209302325581396,0.13798449612403102,0.35038759689922483,0.03255813953488372,0.34108527131782945,0.0,0.22635658914728682,94.78347107438016,0.09302325581395349,886667
TN,1,0.101143583227446,0.19085133418043201,0.45692503176620075,0.02337992376111817,0.1273189326556544,0.0007623888182973316,0.25438373570520967,105.6888459414688,0.22515883100381195,6910840
TX,1,0.18547531619747043,0.24985720114239085,0.4352509179926561,0.027254181966544267,0.16181150550795595,0.00138718890248878,0.33667890656874744,63.466856735566644,0.125499796001632,29145505
UT,1,0.29015544041450775,0.27757216876387864,0.33678756476683935,0.025906735751295335,0.04441154700222058,0.0,0.3286454478164323,30.545381526104418,0.11028867505551443,3271616
VA,1,0.14402985074626865,0.27611940298507465,0.48059701492537316,0.024067164179104476,0.058208955223880594,0.0009328358208955224,0.3389925373134328,38.72229219143577,0.12294776119402985,8631393
VT,1,0.22119205298013245,0.2410596026490066,0.44370860927152317,0.01456953642384106,0.022516556291390728,0.0,0.32450331125827814,34.10886469673406,0.11390728476821192,643077
WA,1,0.214167585446527,0.2630926130099228,0.4130374862183021,0.01860529217199559,0.06504961411245866,0.0005512679162072767,0.29203417861080483,41.6093058733791,0.10832414553472988,7705281
WI,1,0.1993546900207421,0.22286241069370824,0.406314819082738,0.020972574325881538,0.133210417146808,0.00023046784973496196,0.29960820465545057,49.99422835633626,0.12998386725051855,5893718
WV,1,0.1288416075650118,0.20094562647754138,0.4858156028368794,0.027186761229314422,0.2765957446808511,0.002364066193853428,0.25177304964539005,86.80336351875809,0.14775413711583923,1793716
WY,1,0.0950920245398773,0.20245398773006135,0.5368098159509203,0.02147239263803681,0.046012269938650305,0.003067484662576687,0.3098159509202454,25.258389261744966,0.11349693251533742,576851
